PlayerName,SeasonStartYear,PPG,REB,AST,STL,BLK,TOV,TS%,PerformanceMetric,InflationAdjSalary,Team,Age,position
Victor Oladipo,2018,23.13,5.2,4.31,2.36,0.76,2.92,0.58,69.03,24693661,IND,25,SG
Blake Griffin,2018,22.61,7.94,5.42,0.91,0.27,3.0,0.55,68.92,37480194,LAC,28,PF
Carmelo Anthony,2011,25.18,7.64,2.8,0.86,0.62,2.84,0.55,68.77,24309802,DEN,26,SF
Damian Lillard,2016,25.05,4.03,6.83,0.87,0.37,3.23,0.56,68.73,29909716,POR,25,PG
Deron Williams,2011,21.3,3.87,9.7,1.21,0.23,3.53,0.59,68.66,21475931,UTA,26,PG
Pau Gasol,2015,18.54,11.78,2.69,0.32,1.88,2.03,0.55,68.59,9248944,CHI,34,PF
Zach Randolph,2010,20.75,11.73,1.84,0.99,0.42,2.15,0.55,68.59,24016825,MEM,28,PF
Dwight Howard,2014,18.27,12.2,1.85,0.85,1.8,3.23,0.6,68.42,26649840,HOU,28,C
LaMarcus Aldridge,2011,21.84,8.75,2.1,1.01,1.16,1.89,0.55,68.3,16241038,POR,25,PF
Hassan Whiteside,2016,14.25,11.85,0.41,0.6,3.68,1.88,0.63,68.03,27190650,MIA,26,C
Kobe Bryant,2012,27.86,5.4,4.55,1.19,0.31,3.52,0.53,67.98,35959721,LAL,33,SG
Blake Griffin,2016,21.4,8.4,4.86,0.8,0.49,2.37,0.54,67.9,24702702,LAC,26,PF
Devin Booker,2021,25.55,4.19,4.31,0.79,0.24,3.09,0.59,67.83,34518067,PHO,24,SG
Pascal Siakam,2020,22.85,7.32,3.45,1.02,0.88,2.47,0.55,67.78,35124641,TOR,25,PF
Karl-Anthony Towns,2016,18.33,10.46,1.96,0.71,1.68,2.23,0.59,67.68,7327506,MIN,20,C
Danilo Gallinari,2019,19.79,6.13,2.62,0.72,0.34,1.46,0.63,67.62,26162100,LAC,30,SF
Kemba Walker,2017,23.16,3.9,5.49,1.08,0.28,2.13,0.57,67.55,14515858,CHO,26,PG
Chris Paul,2013,16.94,3.74,9.69,2.41,0.14,2.27,0.59,67.46,23689793,LAC,27,PG
Zach LaVine,2020,25.5,4.82,4.23,1.47,0.47,3.43,0.57,67.33,22413234,CHI,24,SF
Gordon Hayward,2017,21.93,5.4,3.45,1.0,0.27,1.92,0.6,67.19,35960497,UTA,26,SF
Kobe Bryant,2011,25.34,5.11,4.73,1.21,0.15,2.96,0.55,67.11,33139086,LAL,32,SG
Deandre Ayton,2020,18.16,11.47,1.89,0.68,1.53,2.11,0.57,67.11,11514885,PHO,21,C
Ben Simmons,2020,16.44,7.79,7.98,2.09,0.58,3.51,0.6,67.1,35124641,PHI,23,PG
Brook Lopez,2014,20.71,6.0,0.94,0.53,1.76,1.65,0.63,67.09,19542057,BRK,25,C
Kyle Lowry,2016,21.22,4.74,6.42,2.05,0.44,2.92,0.58,67.08,14752972,TOR,29,PG
Tobias Harris,2021,19.52,6.76,3.55,0.89,0.82,1.73,0.6,67.03,39257095,PHI,28,PF
Kevin Love,2017,19.03,11.1,1.93,0.88,0.35,2.03,0.57,66.98,27389428,CLE,28,PF
Bam Adebayo,2020,15.92,10.21,5.11,1.14,1.29,2.83,0.6,66.98,5879729,MIA,22,PF
Danny Granger,2010,24.15,5.52,2.76,1.52,0.82,2.53,0.56,66.98,14917442,IND,26,SF
Ben Simmons,2019,16.92,8.82,7.72,1.42,0.77,3.47,0.58,66.88,9386344,PHI,22,PG
Jrue Holiday,2019,21.19,4.99,7.73,1.63,0.81,3.13,0.56,66.82,30228956,NOP,28,SG
LaMarcus Aldridge,2012,21.65,8.04,2.44,0.93,0.82,2.02,0.56,66.82,16786110,POR,26,PF
Jimmy Butler,2015,20.02,5.83,3.26,1.75,0.55,1.43,0.58,66.59,20372793,CHI,25,SG
Paul George,2016,23.14,6.95,4.06,1.88,0.36,3.27,0.56,66.52,22252400,IND,25,SF
Tobias Harris,2019,20.05,7.87,2.79,0.62,0.45,1.84,0.59,66.51,37876556,TOT,26,PF
Russell Westbrook,2013,23.21,5.22,7.4,1.77,0.29,3.33,0.53,66.48,18646215,OKC,24,PG
Gerald Wallace,2010,18.24,10.03,2.12,1.54,1.09,2.34,0.59,66.42,14274151,CHA,27,SF
Zion Williamson,2020,22.5,6.25,2.08,0.67,0.38,2.46,0.62,66.42,11776120,NOP,19,PF
Tim Duncan,2010,17.88,10.1,3.15,0.58,1.5,1.79,0.56,66.31,25421584,SAS,33,C
Clint Capela,2018,13.86,10.84,0.92,0.78,1.85,1.39,0.65,66.24,18570931,HOU,23,C
Mike Conley,2017,20.51,3.49,6.28,1.33,0.28,2.26,0.6,66.13,34512187,MEM,29,PG
Pascal Siakam,2021,21.36,7.23,4.46,1.14,0.66,2.32,0.55,66.1,35994012,TOR,26,PF
Jimmy Butler,2016,20.88,5.34,4.79,1.64,0.64,1.97,0.56,66.03,21578938,CHI,26,SG
Deandre Ayton,2021,14.45,10.54,1.43,0.59,1.17,1.49,0.65,65.85,13777464,PHO,22,C
Malcolm Brogdon,2021,21.18,5.25,5.88,0.88,0.27,2.05,0.56,65.79,23665967,IND,28,PG
